series_id,Manufacturing,footnote_codes_x,date,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes_y,begin_year,begin_period,end_year,end_period
CES3000000006    ,8304.0,,1939-09-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8532.0,,1939-09-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9604.0,,1939-09-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8776.0,,1939-10-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8565.0,,1939-10-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9873.0,,1939-10-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10098.0,,1939-10-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10061.0,,1939-11-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9896.0,,1939-11-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8587.0,,1939-11-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8741.0,,1939-11-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,9906.0,,1939-12-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CEU3000000006    ,8686.0,,1939-12-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,10011.0,,1939-12-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8637.0,,1939-12-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9949.0,,1939-12-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8457.0,,1940-01-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,9785.0,,1940-01-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9927.0,,1940-01-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8593.0,,1940-01-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8578.0,,1940-02-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,9803.0,,1940-02-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9916.0,,1940-02-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8472.0,,1940-02-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8440.0,,1940-03-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,9775.0,,1940-03-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9884.0,,1940-03-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,9909.0,,1940-03-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CES3000000006    ,8534.0,,1940-03-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
